FAILED_LOGIN,SUCCESSFUL_LOGIN,AUTHENTICATION_FAILURE,SUDO_COMMAND,PRIVILEGE_ESCALATION,FILE_MODIFIED,FILE_DELETED,USB_CONNECTED,DEFENDER_ALERT,PASSWORD_CHANGED,USER_CREATED,USER_DELETED,KERNEL_EVENT,TOTAL_EVENTS,HIGH_EVENTS,CRITICAL_EVENTS,UNIQUE_USERS,UNIQUE_SOURCE_IPS,LABEL
10,1,0,0,0,0,0,0,0,0,0,0,0,11,10,0,1,1,BRUTE_FORCE
11,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,1,1,BRUTE_FORCE
8,1,0,0,0,0,0,0,0,0,0,0,0,9,8,0,1,1,BRUTE_FORCE
9,1,0,0,0,0,0,0,0,0,0,0,0,10,9,0,1,1,BRUTE_FORCE
6,1,0,0,0,0,0,0,0,0,0,0,0,7,6,0,1,1,BRUTE_FORCE
11,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,1,1,BRUTE_FORCE
12,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,1,1,BRUTE_FORCE
5,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,1,BRUTE_FORCE
11,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,1,1,BRUTE_FORCE
9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,1,1,BRUTE_FORCE
9,1,0,0,0,0,0,0,0,0,0,0,0,10,9,0,1,1,BRUTE_FORCE
9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,1,1,BRUTE_FORCE
10,1,0,0,0,0,0,0,0,0,0,0,0,11,10,0,1,1,BRUTE_FORCE
5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,BRUTE_FORCE
5,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,1,BRUTE_FORCE
9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,1,1,BRUTE_FORCE
6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,1,BRUTE_FORCE
11,1,0,0,0,0,0,0,0,0,0,0,0,12,11,0,1,1,BRUTE_FORCE
6,1,0,0,0,0,0,0,0,0,0,0,0,7,6,0,1,1,BRUTE_FORCE
7,1,0,0,0,0,0,0,0,0,0,0,0,8,7,0,1,1,BRUTE_FORCE
11,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,1,1,BRUTE_FORCE
8,1,0,0,0,0,0,0,0,0,0,0,0,9,8,0,1,1,BRUTE_FORCE
10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1,1,BRUTE_FORCE
9,1,0,0,0,0,0,0,0,0,0,0,0,10,9,0,1,1,BRUTE_FORCE
12,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,1,1,BRUTE_FORCE
11,1,0,0,0,0,0,0,0,0,0,0,0,12,11,0,1,1,BRUTE_FORCE
5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,BRUTE_FORCE
8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,BRUTE_FORCE
8,1,0,0,0,0,0,0,0,0,0,0,0,9,8,0,1,1,BRUTE_FORCE
8,1,0,0,0,0,0,0,0,0,0,0,0,9,8,0,1,1,BRUTE_FORCE
10,1,0,0,0,0,0,0,0,0,0,0,0,11,10,0,1,1,BRUTE_FORCE
6,1,0,0,0,0,0,0,0,0,0,0,0,7,6,0,1,1,BRUTE_FORCE
7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,BRUTE_FORCE
9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,1,1,BRUTE_FORCE
10,1,0,0,0,0,0,0,0,0,0,0,0,11,10,0,1,1,BRUTE_FORCE
8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,1,BRUTE_FORCE
11,1,0,0,0,0,0,0,0,0,0,0,0,12,11,0,1,1,BRUTE_FORCE
10,1,0,0,0,0,0,0,0,0,0,0,0,11,10,0,1,1,BRUTE_FORCE
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,INSIDER_THREAT
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
0,0,0,0,0,1,1,1,1,0,0,0,0,4,2,1,1,1,MALWARE
